Дата,Макс. температура (°C),Мин. температура (°C),Средняя температура (°C),Осадки (мм),Дождь (мм),Снег (см),Макс. скорость ветра (км/ч),Макс. порывы ветра (км/ч),Направление ветра (°),Город
2026-03-01,2.2,1.0,1.7,0.1,0.1,0.0,9.4,18.7,222,Moscow
2026-03-02,2.5,0.1,1.2,7.1,2.3,3.36,14.8,31.7,270,Moscow
2026-03-03,0.9,-1.1,0.4,1.7,0.4,0.91,14.0,31.0,337,Moscow
2026-03-04,0.9,-3.4,-1.0,3.6,0.4,2.24,13.5,29.2,238,Moscow
2026-03-05,1.8,-3.9,-0.7,0.4,0.2,0.14,10.0,25.2,309,Moscow
2026-03-06,-0.2,-10.5,-3.7,0.0,0.0,0.0,8.5,16.6,336,Moscow
2026-03-07,1.9,-4.3,-0.8,0.0,0.0,0.0,21.1,44.6,282,Moscow
2026-03-08,2.1,-5.1,-0.9,1.9,0.3,1.12,15.1,34.2,317,Moscow
2026-03-09,2.3,-7.2,-3.4,0.7,0.0,0.49,12.4,24.8,158,Moscow
2026-03-10,5.7,1.3,3.2,0.0,0.0,0.0,14.1,29.5,265,Moscow
2026-03-11,6.4,-0.5,3.2,0.0,0.0,0.0,13.6,26.6,231,Moscow
2026-03-12,7.8,1.5,4.0,0.0,0.0,0.0,11.5,23.8,230,Moscow
2026-03-13,7.4,1.5,4.1,0.0,0.0,0.0,10.7,20.9,224,Moscow
2026-03-14,5.9,-0.1,2.9,0.0,0.0,0.0,11.9,23.0,189,Moscow
2026-03-15,5.2,-4.5,1.1,0.0,0.0,0.0,10.1,20.9,169,Moscow
2026-03-16,4.7,-4.8,0.1,0.0,0.0,0.0,8.2,16.9,155,Moscow
2026-03-17,5.7,-5.7,0.0,0.0,0.0,0.0,8.6,16.2,85,Moscow
2026-03-18,6.8,-3.3,1.4,0.0,0.0,0.0,8.2,15.1,53,Moscow
2026-03-19,6.2,-5.2,0.8,0.0,0.0,0.0,9.3,17.6,82,Moscow
2026-03-20,4.2,-4.8,0.6,0.0,0.0,0.0,9.9,19.4,201,Moscow
2026-03-21,5.3,-2.0,0.7,0.0,0.0,0.0,9.2,17.3,330,Moscow
2026-03-22,7.2,-3.6,0.9,0.0,0.0,0.0,8.3,15.5,263,Moscow
2026-03-23,6.4,-2.8,1.8,0.0,0.0,0.0,10.2,19.4,223,Moscow
2026-03-24,7.7,-1.8,2.7,0.0,0.0,0.0,9.9,19.1,222,Moscow
2026-03-25,7.3,-2.0,2.6,0.0,0.0,0.0,10.2,20.5,179,Moscow
2026-03-26,6.9,-1.9,2.1,0.0,0.0,0.0,9.1,18.7,147,Moscow
2026-03-27,9.8,-0.8,3.5,0.0,0.0,0.0,5.3,9.7,96,Moscow
2026-03-28,10.5,3.3,6.1,0.0,0.0,0.0,7.4,15.5,23,Moscow
2026-03-29,15.2,1.6,7.8,0.0,0.0,0.0,10.1,18.4,65,Moscow
2026-03-30,15.6,1.3,8.8,0.0,0.0,0.0,11.0,24.5,59,Moscow
2026-03-31,15.8,3.6,9.7,0.0,0.0,0.0,9.6,20.5,78,Moscow
2026-04-01,17.0,4.9,10.8,0.0,0.0,0.0,10.4,22.0,51,Moscow
2026-04-02,9.4,5.7,8.1,0.8,0.8,0.0,11.3,27.4,353,Moscow
2026-04-03,14.4,4.0,9.3,1.2,1.2,0.0,10.2,27.4,305,Moscow
2026-04-04,13.6,2.3,8.3,0.0,0.0,0.0,13.3,27.7,249,Moscow
2026-04-05,7.5,2.7,4.9,6.3,1.9,3.08,15.2,37.4,278,Moscow
2026-04-06,8.1,1.1,4.3,2.2,2.2,0.0,14.9,32.8,251,Moscow
2026-04-07,8.2,0.4,4.1,0.6,0.6,0.0,11.8,31.7,294,Moscow
2026-04-08,5.9,1.1,3.2,1.9,1.7,0.14,11.3,27.4,321,Moscow
2026-04-09,3.4,0.6,1.6,4.8,0.9,2.73,20.9,49.7,18,Moscow
2026-04-10,5.4,0.0,2.5,1.2,0.3,0.63,20.6,57.6,41,Moscow
2026-04-11,6.2,2.0,3.8,1.5,1.5,0.0,17.5,42.5,86,Moscow
2026-04-12,10.2,1.5,6.0,0.2,0.2,0.0,8.9,25.9,91,Moscow
2026-04-13,11.6,1.6,6.9,0.0,0.0,0.0,11.8,31.3,22,Moscow
2026-04-14,12.9,4.3,8.0,2.8,2.8,0.0,16.3,41.4,6,Moscow
2026-04-15,13.9,7.2,10.5,1.6,1.6,0.0,13.6,37.4,75,Moscow
2026-04-16,13.0,7.2,10.1,0.3,0.3,0.0,11.9,28.8,138,Moscow
2026-04-17,12.2,6.0,9.0,0.5,0.5,0.0,11.5,32.0,208,Moscow
2026-04-18,10.2,3.8,6.0,2.2,2.2,0.0,17.3,44.3,336,Moscow
2026-04-19,4.8,1.5,3.4,0.1,0.1,0.0,15.3,37.1,14,Moscow
2026-04-20,4.8,1.1,2.7,1.4,0.3,0.77,21.7,59.0,8,Moscow
2026-04-21,8.6,0.8,4.3,0.0,0.0,0.0,15.8,40.0,351,Moscow
2026-04-22,14.6,0.3,7.0,0.0,0.0,0.0,14.1,30.6,267,Moscow
2026-04-23,8.6,2.5,4.6,8.2,8.2,0.0,24.5,59.8,335,Moscow
2026-04-24,4.8,-0.2,2.7,0.0,0.0,0.0,19.7,52.9,342,Moscow
2026-04-25,10.4,0.4,5.1,0.1,0.1,0.0,13.4,49.3,285,Moscow
2026-04-26,10.3,1.9,7.0,11.4,11.3,0.07,18.1,42.8,234,Moscow
2026-04-27,1.8,0.1,1.1,25.4,2.4,16.1,31.6,70.6,281,Moscow
2026-04-28,1.8,-0.2,0.9,5.3,0.1,3.64,27.9,64.4,281,Moscow
2026-04-29,4.6,0.2,1.9,1.4,0.4,0.7,17.1,41.4,303,Moscow
2026-04-30,5.8,-0.9,2.8,0.3,0.3,0.0,9.9,26.6,320,Moscow
2026-05-01,8.9,1.3,5.2,0.6,0.6,0.0,11.1,28.4,281,Moscow
2026-05-02,14.9,3.2,9.6,0.0,0.0,0.0,13.5,32.0,219,Moscow
2026-05-03,20.4,8.7,14.6,0.0,0.0,0.0,13.4,34.2,212,Moscow
2026-05-04,24.1,10.6,17.5,0.0,0.0,0.0,16.1,42.8,254,Moscow
2026-05-05,25.4,14.9,19.4,0.8,0.8,0.0,17.5,60.1,240,Moscow
2026-05-06,25.1,13.1,19.5,0.1,0.1,0.0,14.9,43.6,285,Moscow
2026-05-07,27.2,13.6,21.0,0.7,0.7,0.0,22.7,62.6,220,Moscow
2026-05-08,20.5,10.4,14.2,2.4,2.4,0.0,15.8,41.8,339,Moscow
2026-05-09,13.1,9.1,11.2,0.0,0.0,0.0,14.0,35.3,65,Moscow
2026-05-10,14.3,8.9,11.3,0.7,0.7,0.0,17.5,43.2,102,Moscow
2026-05-11,14.9,8.7,11.4,0.3,0.3,0.0,13.8,33.8,122,Moscow
2026-05-12,16.5,9.6,13.2,0.3,0.3,0.0,9.7,24.5,88,Moscow
