Дата,Макс. температура (°C),Мин. температура (°C),Средняя температура (°C),Осадки (мм),Дождь (мм),Снег (см),Макс. скорость ветра (км/ч),Макс. порывы ветра (км/ч),Направление ветра (°),Город
2026-03-01,-23.4,-35.2,-29.1,0.0,0.0,0.0,8.5,19.8,178,Novosibirsk
2026-03-02,-17.5,-28.8,-23.7,0.0,0.0,0.0,14.7,32.4,167,Novosibirsk
2026-03-03,-8.6,-20.1,-12.9,5.5,0.0,3.85,18.0,39.2,197,Novosibirsk
2026-03-04,-7.6,-19.2,-13.5,0.2,0.0,0.14,14.6,28.1,189,Novosibirsk
2026-03-05,-2.3,-7.3,-4.6,1.6,0.0,1.12,22.7,46.1,200,Novosibirsk
2026-03-06,-1.6,-19.2,-6.8,4.1,0.0,2.87,24.7,49.0,268,Novosibirsk
2026-03-07,-0.4,-21.7,-10.6,1.9,0.0,1.4,27.5,55.8,171,Novosibirsk
2026-03-08,0.4,-1.5,-0.5,3.7,0.0,2.59,30.1,60.8,218,Novosibirsk
2026-03-09,0.4,-4.0,-1.7,2.9,0.0,2.03,24.1,51.8,218,Novosibirsk
2026-03-10,-3.4,-9.2,-5.5,2.8,0.0,1.96,18.3,38.5,227,Novosibirsk
2026-03-11,-6.8,-20.5,-17.2,1.7,0.1,1.12,36.0,72.7,228,Novosibirsk
2026-03-12,-7.7,-17.3,-11.9,4.9,0.0,3.43,33.2,67.3,206,Novosibirsk
2026-03-13,-2.8,-7.8,-4.6,5.4,0.0,3.78,29.2,59.4,240,Novosibirsk
2026-03-14,-0.2,-12.0,-4.8,0.2,0.0,0.14,25.3,51.5,213,Novosibirsk
2026-03-15,-0.9,-15.1,-5.1,3.7,0.1,2.52,24.0,51.1,286,Novosibirsk
2026-03-16,-5.2,-19.7,-11.7,0.0,0.0,0.0,15.2,29.2,196,Novosibirsk
2026-03-17,-2.1,-7.8,-4.9,0.0,0.0,0.0,12.0,23.0,220,Novosibirsk
2026-03-18,-0.6,-6.2,-3.3,0.1,0.0,0.07,19.7,41.0,233,Novosibirsk
2026-03-19,-1.1,-4.9,-2.3,0.2,0.0,0.14,15.6,31.3,262,Novosibirsk
2026-03-20,0.2,-5.6,-2.6,0.3,0.0,0.21,26.2,51.8,224,Novosibirsk
2026-03-21,1.7,-4.2,-1.1,0.0,0.0,0.0,19.2,40.3,217,Novosibirsk
2026-03-22,1.2,-2.6,-0.8,0.0,0.0,0.0,15.3,29.2,220,Novosibirsk
2026-03-23,1.6,-4.3,-1.0,0.0,0.0,0.07,22.1,44.6,220,Novosibirsk
2026-03-24,2.3,-2.0,0.4,4.1,0.0,2.87,21.1,43.6,263,Novosibirsk
2026-03-25,3.2,-2.5,0.9,0.0,0.0,0.0,21.9,44.3,222,Novosibirsk
2026-03-26,2.1,-0.7,1.4,1.8,1.8,0.0,13.5,31.0,213,Novosibirsk
2026-03-27,1.4,-3.4,-0.6,0.0,0.0,0.0,7.3,18.0,224,Novosibirsk
2026-03-28,1.5,-3.2,-0.8,0.0,0.0,0.0,9.5,20.9,202,Novosibirsk
2026-03-29,4.0,-1.9,1.2,0.2,0.2,0.0,18.1,34.2,237,Novosibirsk
