Дата,Макс. температура (°C),Мин. температура (°C),Средняя температура (°C),Осадки (мм),Дождь (мм),Снег (см),Макс. скорость ветра (км/ч),Макс. порывы ветра (км/ч),Направление ветра (°),Город
2026-03-01,2.3,0.2,1.4,1.3,1.3,0.0,12.5,24.5,172,Saint Petersburg
2026-03-02,2.0,0.6,1.2,4.6,3.5,0.77,14.1,27.4,288,Saint Petersburg
2026-03-03,0.6,-2.7,-1.1,1.5,0.2,0.91,16.1,31.0,272,Saint Petersburg
2026-03-04,2.0,-0.2,0.8,2.2,0.1,1.47,24.7,50.8,262,Saint Petersburg
2026-03-05,1.2,-7.7,-1.1,0.1,0.0,0.07,16.0,31.7,330,Saint Petersburg
2026-03-06,1.8,-10.1,-4.3,0.0,0.0,0.0,14.4,25.9,243,Saint Petersburg
2026-03-07,3.2,-1.9,0.6,0.0,0.0,0.0,21.6,41.8,285,Saint Petersburg
2026-03-08,0.9,-3.6,-1.0,0.0,0.0,0.0,21.3,44.3,279,Saint Petersburg
2026-03-09,3.5,-1.8,1.1,1.8,1.2,0.42,19.6,38.2,266,Saint Petersburg
2026-03-10,4.8,0.8,2.2,0.0,0.0,0.0,17.3,37.1,257,Saint Petersburg
2026-03-11,8.8,1.8,4.1,0.0,0.0,0.0,12.7,23.4,226,Saint Petersburg
2026-03-12,11.6,2.7,6.1,1.4,1.4,0.0,23.6,47.5,220,Saint Petersburg
2026-03-13,10.6,1.8,5.9,0.0,0.0,0.0,17.1,36.4,210,Saint Petersburg
2026-03-14,13.3,5.2,9.1,0.0,0.0,0.0,19.8,40.7,174,Saint Petersburg
2026-03-15,10.6,3.1,7.1,0.0,0.0,0.0,20.3,42.8,175,Saint Petersburg
2026-03-16,7.2,3.0,4.6,1.5,1.5,0.0,19.9,40.7,188,Saint Petersburg
2026-03-17,11.9,1.0,6.0,0.0,0.0,0.0,12.8,31.7,178,Saint Petersburg
2026-03-18,3.8,-1.2,0.8,0.0,0.0,0.0,12.7,28.8,270,Saint Petersburg
2026-03-19,4.0,-0.2,2.0,0.7,0.7,0.0,13.2,29.9,245,Saint Petersburg
2026-03-20,6.4,-1.5,1.5,0.0,0.0,0.0,12.3,26.6,278,Saint Petersburg
2026-03-21,7.1,-1.5,2.7,0.0,0.0,0.0,13.4,28.1,265,Saint Petersburg
2026-03-22,10.6,1.7,5.8,0.0,0.0,0.0,16.4,32.8,248,Saint Petersburg
2026-03-23,10.6,2.2,6.3,0.0,0.0,0.0,20.9,47.5,228,Saint Petersburg
2026-03-24,9.6,0.9,5.2,0.1,0.1,0.0,17.6,37.4,245,Saint Petersburg
2026-03-25,11.9,4.9,8.3,0.2,0.2,0.0,19.7,44.3,196,Saint Petersburg
2026-03-26,12.2,7.1,9.5,0.2,0.2,0.0,19.5,40.0,188,Saint Petersburg
2026-03-27,8.9,2.2,5.7,0.0,0.0,0.0,14.2,29.5,253,Saint Petersburg
